No.,버그 분류,아이템명,표기 수치,실제 수치,상세 내용 / 비고,처리 상태
94,정보 표기 오류,다크 초코릿,,,피로가 회복되나 피로도 회복 수치 미표시 (-10),완료(오탈자 확인 필요) - 실제 데이터명은 다크 초콜릿(dark_chocolate)입니다. onUse 효과를 onConsume으로 정규화해 사기/피로 수치 표시와 실제 소비 효과가 일치하도록 처리했습니다.
95,정보 표기 오류,비타민 복합제,,,회복 수치 표기 안 됨,완료 - 카드/상세 모달이 공통 소비 효과 formatter를 사용하도록 수정해 누락되던 회복/상태 수치가 표시됩니다.
96,정보 표기 오류,비타민,,,회복 수치 표기 안 됨,완료 - 카드/상세 모달이 공통 소비 효과 formatter를 사용하도록 수정해 누락되던 회복/상태 수치가 표시됩니다.
97,정보 표기 오류,생리식염수,,,HP 회복 +15 표시 안 됨,완료(표기명 확인 필요) - 실제 데이터명은 생리식염수 IV(iv_saline)입니다. heal 키를 HP로 정규화해 수분/HP 수치가 카드와 상세 모달에 표시됩니다.
98,정보 표기 오류,소음기,,,무기에 착용하라는 설명 없음,"완료 - 소음기(suppressor)는 카드 드롭 상호작용으로 탄약을 쓰는 무기에 장착되며, 적용 후 카드 상세에 소음 -50%가 표시되고 전투 공격 소음이 실제로 감소합니다."
99,정보 표기 오류,안정제,,,HP +10 텍스트는 있으나 옵션 설명에는 없음 (회복 안 됨),완료(표기명 확인 필요) - 실제 데이터명은 안정제 주사(stabilizer_shot)입니다. heal 키를 HP로 정규화해 회복 수치가 표시되고 실제 소비에도 반영됩니다.
100,정보 표기 오류,양초 강장제,,,HP +10 텍스트는 있으나 옵션 설명에는 없음 (회복 안 됨),"완료(오탈자 확인 필요) - 실제 데이터 후보는 약초 강장제(herbal_tonic) 또는 활력 강장제(stamina_tonic)입니다. 두 계열 모두 heal/stamina 효과 표시가 공통 처리됩니다. 시트명 ""양초 강장제""는 원본 확인이 필요합니다."
101,합성/강화 대상(바르는 곳) 불명확,독,,,무기에 바르면 효과가 난다고 해 메스에 발랐으나 아무런 연출 없음,"완료 - 독(poison)은 카드 드롭 상호작용으로 칼날/근접 무기에 바를 수 있으며, 적용 후 카드 상세에 독 피해 +3이 표시되고 공격 적중 시 실제 피해에 더해집니다."
102,합성/강화 대상(바르는 곳) 불명확,방어연고,,,무기에 바르라고 되어 있으나 어떤 무기인지 불명확,"완료 - 방어연고(defense_salve)는 카드 드롭 상호작용으로 방어구에 바를 수 있으며, 적용 후 카드 상세에 피해 -5%/치명 -2%가 표시되고 장착 효과 계산에 반영됩니다."
103,합성/강화 대상(바르는 곳) 불명확,소총 탄약,,,무기 착용이 안 되어 사용처 불명확,"완료 - 소총 탄약(rifle_ammo)은 rifle의 requiresAmmo로 이미 연결되어 있으며, CombatSystem에서 공격 시 보드의 rifle_ammo 수량을 소모합니다. 카드 타입은 탄약으로 표시됩니다."
